Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion,Holiday
1000325903,2020-04-17 15:47:16,Heidi Hull,"['Trash Bags', 'Deodorant', 'Iron']",7,,Mobile Payment,Dallas,Warehouse Club,True,Middle-Aged,Spring,Bogo (Buy One Get One),False
1000243479,2023-02-14 05:25:04,Robert Jones,"['Olive Oil', 'Power Strips', 'Cleaning Rags', 'Power Strips', 'Rice']",6,32.91432610030309,Cash,Boston,Pharmacy,False,Young Adult,Winter,Na,False
1000946479,2021-08-29 15:50:55,Bryan Blake,"['Honey', 'Banana', 'Air Freshener', 'Vacuum Cleaner']",6,52.07,Debit Card,New York,Convenience Store,True,Teenager,Fall,Bogo (Buy One Get One),False
1000819654,2022-04-12 08:42:59,Morgan Burch,"['Tomatoes', 'Banana']",7,44.24,Mobile Payment,Houston,Warehouse Club,True,Middle-Aged,,Na,False
1000760387,2021-12-14 22:03:56,Rachel Walker,"['Cleaning Rags', 'Feminine Hygiene Products', 'Vinegar']",9,14.55,Cash,Boston,Specialty Store,False,Homemaker,Fall,Na,False
1000470284,2021-07-25 02:09:37,Andrea Perez,['Baby Wipes'],9,26.98,Debit Card,Seattle,Convenience Store,False,Student,Winter,Discount On Selected Items,False
1000740209,2023-01-19 12:10:00,Carlos Fernandez,['Soap'],1,78.28,Mobile Payment,Dallas,Specialty Store,False,Student,Fall,Bogo (Buy One Get One),False
1000034415,2023-09-21 17:26:35,Ryan Fletcher,"['Tomatoes', 'Coffee', 'Canned Soup', 'Air Freshener', 'Tea']",10,83.71,Credit Card,Boston,Supermarket,False,Teenager,Fall,Na,False
1000616438,2022-10-12 15:48:56,Lauren Carpenter,"['Shaving Cream', 'Eggs', 'Carrots', 'Cereal', 'Onions']",5,53.93,Mobile Payment,Chicago,Warehouse Club,True,Teenager,,Na,False
1000885069,2023-07-09 09:59:15,John Montes,"['Olive Oil', 'Chips', 'Butter', 'Onions']",3,95.73,Debit Card,New York,Specialty Store,True,Middle-Aged,Fall,Bogo (Buy One Get One),False
1000458333,2020-03-06 05:41:08,Vickie Key,['Light Bulbs'],5,36.72,Cash,Miami,Supermarket,False,Retiree,Winter,Na,False
1000527034,2024-03-05 18:30:08,Erin Morris,"['Olive Oil', 'Tissues', 'Mayonnaise']",7,94.26,Mobile Payment,Houston,Pharmacy,False,Teenager,Spring,Na,False
1000657348,2023-03-19 16:11:24,Justin Miller,"['Jam', 'Hair Gel', 'Light Bulbs']",6,34.39513050977299,Mobile Payment,Chicago,Supermarket,False,Young Adult,Fall,Discount On Selected Items,False
1000229361,2023-12-17 12:10:22,Dave Davis,"['Mop', 'Deodorant', 'Hair Gel', 'Ice Cream']",10,36.31,Debit Card,Seattle,Specialty Store,False,Retiree,Winter,Na,False
1000935583,2022-11-07 15:05:21,Scott Cunningham,"['Insect Repellent', 'Dustpan', 'Carrots']",10,74.53,Debit Card,Atlanta,Supermarket,False,Homemaker,Winter,Bogo (Buy One Get One),False
1000948915,2021-02-07 18:37:26,Gina Hernandez,"['Laundry Detergent', 'Eggs', 'Dish Soap', 'Spinach']",8,23.36,Mobile Payment,Miami,Convenience Store,False,Middle-Aged,Summer,Discount On Selected Items,False
1000910401,2021-07-23 17:04:59,Joann Hayden,"['Beef', 'Tuna']",1,79.05,Mobile Payment,New York,Specialty Store,False,Senior Citizen,Spring,Na,False
1000477084,2020-12-08 21:19:30,Jason Pollard,"['Tuna', 'Tissues']",7,62.42,Mobile Payment,Miami,Warehouse Club,True,Student,Summer,Discount On Selected Items,False
1000323818,2020-03-02 08:03:49,Kimberly Owens,"['Ketchup', 'Coffee', 'Tuna', 'Dustpan']",10,57.55,Debit Card,Dallas,Department Store,False,Senior Citizen,,Discount On Selected Items,False
1000895956,2024-03-13 05:30:37,Anthony Thomas,"['Cereal', 'Hair Gel']",10,21.2,Debit Card,Los Angeles,Supermarket,False,Homemaker,Spring,Bogo (Buy One Get One),False
